,Date,City,Country,Clouds,Humidity,Lat,Long,Max Temp,Wind Speed
340,1560992778,Zyryanovsk,KZ,0,73,49.74,84.27,50.39,3.58
341,1560992779,Codrington,AU,75,62,-28.95,153.24,62.01,5.82
342,1560992780,Talnakh,RU,75,100,69.49,88.39,35.6,8.95
343,1560992781,Acapulco,MX,75,70,16.86,-99.88,87.8,8.05
344,1560992782,Pyapon,MM,88,89,16.29,95.68,79.91,6.55
345,1560992688,Adelaide,AU,75,66,-34.93,138.6,53.01,9.17
346,1560992785,Gamba,CN,70,72,28.28,88.52,38.69,3.65
347,1560992786,Nhulunbuy,AU,75,65,-12.18,136.78,78.8,14.99
348,1560992787,Waipawa,NZ,56,62,-39.94,176.59,51.01,7.0
349,1560992769,Half Moon Bay,US,5,68,37.46,-122.43,77.0,11.41
350,1560992789,Joao Pinheiro,BR,39,62,-17.74,-46.17,66.59,3.38
351,1560992790,Katete,UG,9,86,-0.78,29.75,62.27,3.2
352,1560992792,Saryagash,KZ,0,52,41.45,69.17,66.2,6.93
353,1560992540,Soyo,AO,0,84,-6.13,12.37,75.23,9.48
354,1560992794,Kavieng,PG,81,71,-2.57,150.8,83.87,2.46
355,1560992795,Chadan,RU,95,64,51.29,91.58,58.67,0.74
356,1560992796,Guerrero Negro,MX,0,86,27.97,-114.04,63.35,14.67
357,1560992798,Boende,CD,1,76,-0.28,20.88,74.33,2.3
358,1560992799,Panjab,AF,0,51,34.38,67.02,43.37,4.94
359,1560992800,Celaru,RO,49,88,44.04,24.13,66.2,2.24
360,1560992801,Sikandarabad,IN,0,78,28.45,77.7,77.0,5.32
361,1560992802,Shache,CN,95,44,38.42,77.24,69.11,5.35
362,1560992805,Andros,GR,36,69,37.83,24.93,75.0,4.7
363,1560992806,Elizabeth City,US,75,83,36.3,-76.22,79.0,6.93
364,1560992807,Asosa,ET,71,94,10.07,34.53,66.23,2.37
365,1560992808,Yerofey Pavlovich,RU,6,39,53.97,121.97,70.01,1.59
366,1560992809,Razole,IN,100,73,16.48,81.84,86.03,7.78
367,1560992811,Tonantins,BR,2,97,-2.86,-67.77,74.51,1.5
368,1560992812,Isiro,CD,46,98,2.77,27.62,66.95,0.85
369,1560992813,Ha Giang,VN,85,94,22.83,104.99,70.37,4.85
370,1560992814,Alice Springs,AU,0,52,-23.7,133.88,50.0,8.05
371,1560992815,Yulara,AU,0,54,-25.24,130.99,48.2,8.05
